adjective,kmeans,pca,binary_label
 perfect,0.7344663,0.67481023,1
 fantastic,0.8579254,1.1287497,1
 delightful,0.75626314,0.74918014,1
 cheerful,0.31574643,-0.053190883,1
 marvelous,0.9170896,1.1414819,1
 good,0.59275407,0.40830955,1
 remarkable,0.6459174,0.767553,1
 satisfactory,0.45658672,-0.042466838,1
 wonderful,0.9942192,1.2219012,1
 nice,0.5512869,0.38260382,1
 fabulous,0.8764081,1.1400663,1
 outstanding,0.8714427,0.96876806,1
 satisfying,0.40447417,-0.079088286,1
 awesome,0.54779863,0.7276478,1
 exceptional,0.76238143,0.87116,1
 adequate,0.31073022,-0.06660928,1
 incredible,0.6208579,0.92365646,1
 extraordinary,0.5778688,0.7485789,1
 amazing,0.77210706,1.056451,1
 decent,0.23921147,0.018943569,1
 lovely,0.76967657,0.88898575,1
 brilliant,0.7244295,0.9256382,1
 charming,0.5793545,0.45386675,1
 terrific,0.73346794,0.9983493,1
 superb,0.8632315,1.0844034,1
 spectacular,0.42423916,0.5710296,1
 great,0.8594692,1.0271994,1
 splendid,0.8618798,0.99200666,1
 beautiful,0.7423954,0.82545966,1
 joyful,0.355573,0.07992648,1
 positive,0.29409954,-0.098904975,1
 excellent,0.9310003,1.0560079,1
 pleasant,0.34467125,-0.008399674,1
 dreadful,-0.92549276,-0.641858,0
 bad,-0.8588931,-0.817349,0
 lousy,-0.8542322,-0.673903,0
 dull,-0.6576952,-0.7287329,0
 depressing,-0.9712322,-1.0780624,0
 miserable,-0.98054886,-0.9310305,0
 tragic,-0.66558695,-0.50090444,0
 nasty,-0.9171688,-0.886924,0
 inferior,-0.8116821,-0.7215104,0
 horrific,-0.94217443,-0.6961926,0
 terrible,-0.85052603,-0.5001672,0
 ugly,-1.238955,-1.1999637,0
 disgusting,-0.9047746,-0.7893686,0
 disastrous,-1.0194703,-0.8184895,0
 horrendous,-1.0302477,-0.7249359,0
 annoying,-0.8950908,-0.9501144,0
 boring,-0.78913087,-0.844109,0
 offensive,-0.7226311,-0.77461654,0
 frustrating,-0.77828586,-0.80808526,0
 wretched,-0.94356537,-0.81759065,0
 inadequate,-0.7943487,-0.8232915,0
 dire,-0.8994316,-0.84152234,0
 unpleasant,-0.9875072,-1.111717,0
 horrible,-0.96808136,-0.6760448,0
 mediocre,-0.6015214,-0.5636227,0
 disappointing,-0.8299746,-0.85552,0
 awful,-1.0028633,-0.7084455,0
